Date,GLD.BK_Close_Price_THB,GLD.BK_Adj_close_PriceTHB,GLD_USD/oz,USD/THB_Exchange_Rate,Federal_Funds_Effective_Rate%,TH_PriceTHB
2023-01-27,2.55,2.55,177.9,32.722,1.4655675420143985,34400.0
2023-01-20,2.56,2.56,179.47,32.731,1.4655675420143985,34400.0
2023-01-13,2.56,2.56,179.89,33.0,1.4655675420143985,34400.0
2023-01-06,2.54,2.54,176.64,33.362,1.4655675420143985,34400.0
2022-12-30,2.54,2.54,170.52,33.888,1.410986973710262,32100.0
2022-12-23,2.55,2.55,168.85,34.7,1.410986973710262,32100.0
2022-12-16,2.56,2.56,166.76,34.65,1.410986973710262,32100.0
2022-12-09,2.54,2.54,165.35,34.52,1.410986973710262,32100.0
2022-12-02,2.55,2.55,166.47,34.9,1.410986973710262,32100.0
2022-11-25,2.57,2.57,167.84,35.07,1.3297240096314962,32100.0
2022-11-18,2.57,2.57,163.08,35.98,1.3297240096314962,32100.0
2022-11-11,2.57,2.57,163.92,35.802,1.3297240096314962,32100.0
2022-11-04,2.57,2.57,163.48,36.86,1.3297240096314962,32100.0
2022-10-28,2.53,2.53,151.81,37.833,1.1249295969854831,32100.0
2022-10-21,2.56,2.56,154.74,37.7,1.1249295969854831,32100.0
2022-10-14,2.54,2.54,151.45,38.3,1.1249295969854831,32100.0
2022-10-07,2.57,2.57,154.91,37.89,1.1249295969854831,32100.0
2022-09-30,2.57,2.57,159.63,37.44,0.9400072584914712,32100.0
2022-09-23,2.55,2.55,154.66,37.91,0.9400072584914712,32100.0
2022-09-16,2.53,2.53,155.7,37.21,0.9400072584914712,32100.0
2022-09-09,2.51,2.51,154.98,36.63,0.9400072584914712,32100.0
2022-09-02,2.55,2.55,158.98,36.52,0.9400072584914712,32100.0
2022-08-26,2.55,2.55,157.87,36.622,0.8458682675776092,32100.0
2022-08-19,2.58,2.58,163.75,36.057,0.8458682675776092,32100.0
2022-08-12,2.56,2.56,163.92,35.48,0.8458682675776092,32100.0
2022-08-05,2.56,2.56,166.34,35.32,0.8458682675776092,32100.0
2022-07-29,2.59,2.59,167.17,36.24,0.5187937934151675,32100.0
2022-07-22,2.56,2.56,163.64,36.637,0.5187937934151675,32100.0
2022-07-15,2.56,2.56,160.27,36.665,0.5187937934151675,32100.0
2022-07-08,2.55,2.55,159.33,36.232,0.5187937934151675,32100.0
2022-07-01,2.59,2.59,162.23,36.155,0.5187937934151675,32100.0
2022-06-24,2.63,2.63,168.46,35.078,0.1906203596086497,32100.0
2022-06-17,2.65,2.65,170.26,35.35,0.1906203596086497,32100.0
2022-06-10,2.7,2.7,172.69,34.836,0.1906203596086497,32100.0
2022-06-03,2.63,2.63,172.23,34.489,0.1906203596086497,32100.0
2022-05-27,2.62,2.62,174.35,34.363,-0.2613647641344075,32100.0
2022-05-20,2.61,2.61,172.76,34.24,-0.2613647641344075,32100.0
2022-05-13,2.61,2.61,171.91,34.573,-0.2613647641344075,32100.0
2022-05-06,2.62,2.62,170.17,34.627,-0.2613647641344075,32100.0
2022-04-29,2.65,2.65,175.13,34.05,-1.1086626245216111,32100.0
2022-04-22,2.67,2.67,176.93,34.349,-1.1086626245216111,32100.0
2022-04-15,2.71,2.71,182.06,33.781,-1.1086626245216111,32100.0
2022-04-08,2.75,2.75,184.04,33.455,-1.1086626245216111,32100.0
2022-04-01,2.69,2.69,180.34,33.571,-1.1086626245216111,32100.0
2022-03-25,2.69,2.69,180.65,33.319,-1.6094379124341003,32100.0
2022-03-18,2.74,2.74,183.13,33.626,-1.6094379124341003,32100.0
2022-03-11,2.66,2.66,180.89,33.342,-1.6094379124341003,32100.0
2022-03-04,2.72,2.72,186.4,32.973,-1.6094379124341003,32100.0
2022-02-25,2.62,2.62,180.8,32.475,-2.5257286443082556,32100.0
2022-02-18,2.55,2.55,177.14,32.271,-2.5257286443082556,32100.0
2022-02-11,2.5,2.5,177.25,32.3,-2.5257286443082556,32100.0
2022-02-04,2.47,2.47,170.56,32.708,-2.5257286443082556,32100.0
2022-01-28,2.49,2.49,168.6,33.115,-2.5257286443082556,32100.0
2022-01-21,2.46,2.46,167.6,33.105,-2.5257286443082556,32100.0
2022-01-14,2.48,2.48,171.65,32.91,-2.5257286443082556,32100.0
2022-01-07,2.48,2.48,170.16,33.251,-2.5257286443082556,32100.0
2021-12-31,2.47,2.47,166.99,33.248,-2.5257286443082556,28950.0
2021-12-24,2.47,2.47,169.8,33.445,-2.5257286443082556,28950.0
2021-12-17,2.47,2.47,168.97,33.558,-2.5257286443082556,28950.0
2021-12-10,2.46,2.46,168.16,33.396,-2.5257286443082556,28950.0
2021-12-03,2.46,2.46,165.88,33.44,-2.5257286443082556,28950.0
2021-11-26,2.45,2.45,165.24,33.73,-2.5257286443082556,28950.0
2021-11-19,2.49,2.49,167.12,33.37,-2.5257286443082556,28950.0
2021-11-12,2.48,2.48,173.94,32.621,-2.5257286443082556,28950.0
2021-11-05,2.49,2.49,174.12,32.837,-2.5257286443082556,28950.0
2021-10-29,2.45,2.45,167.65,33.25,-2.5257286443082556,28950.0
2021-10-22,2.42,2.42,168.08,33.292,-2.5257286443082556,28950.0
2021-10-15,2.42,2.42,166.75,33.35,-2.5257286443082556,28950.0
2021-10-08,2.42,2.42,168.0,33.17,-2.5257286443082556,28950.0
2021-10-01,2.42,2.42,164.16,33.8,-2.5257286443082556,28950.0
2021-09-24,2.41,2.41,164.22,33.936,-2.5257286443082556,28950.0
2021-09-17,2.41,2.41,163.51,33.427,-2.5257286443082556,28950.0
2021-09-10,2.42,2.42,164.03,32.85,-2.5257286443082556,28950.0
2021-09-03,2.42,2.42,168.03,32.75,-2.4079456086518722,28950.0
2021-08-27,2.4,2.4,169.25,32.28,-2.4079456086518722,28950.0
2021-08-20,2.4,2.4,167.67,32.735,-2.4079456086518722,28950.0
2021-08-13,2.42,2.42,166.61,33.305,-2.4079456086518722,28950.0
2021-08-06,2.42,2.42,164.04,33.098,-2.4079456086518722,28950.0
2021-07-30,2.47,2.47,168.86,33.14,-2.3025850929940455,28950.0
2021-07-23,2.48,2.48,171.17,32.81,-2.3025850929940455,28950.0
2021-07-16,2.42,2.42,169.09,32.85,-2.3025850929940455,28950.0
2021-07-09,2.44,2.44,171.07,32.603,-2.3025850929940455,28950.0
2021-07-02,2.4,2.4,168.65,32.34,-2.3025850929940455,28950.0
2021-06-25,2.34,2.34,166.2,31.982,-2.5257286443082556,28950.0
2021-06-18,2.31,2.31,166.04,31.82,-2.5257286443082556,28950.0
2021-06-11,2.34,2.34,165.85,31.299,-2.5257286443082556,28950.0
2021-06-04,2.41,2.41,177.74,31.15,-2.5257286443082556,28950.0
2021-05-28,2.39,2.39,175.27,31.11,-2.8134107167600364,28950.0
2021-05-21,2.43,2.43,177.71,31.26,-2.8134107167600364,28950.0
2021-05-14,2.42,2.42,175.96,31.43,-2.8134107167600364,28950.0
2021-05-07,2.33,2.33,171.13,31.28,-2.8134107167600364,28950.0
2021-04-30,2.34,2.34,170.06,31.13,-2.659260036932778,28950.0
2021-04-23,2.29,2.29,166.22,31.324,-2.659260036932778,28950.0
2021-04-16,2.32,2.32,167.04,31.31,-2.659260036932778,28950.0
2021-04-09,2.3,2.3,165.35,31.312,-2.659260036932778,28950.0
2021-04-02,2.28,2.28,164.51,31.361,-2.659260036932778,28950.0
2021-03-26,2.23,2.23,161.98,31.235,-2.659260036932778,28950.0
2021-03-19,2.22,2.22,161.78,31.02,-2.659260036932778,28950.0
2021-03-12,2.24,2.24,162.56,30.67,-2.659260036932778,28950.0
2021-03-05,2.21,2.21,161.52,30.689,-2.659260036932778,28950.0
2021-02-26,2.18,2.18,159.04,30.35,-2.5257286443082556,28950.0
2021-02-19,2.25,2.25,165.82,30.037,-2.5257286443082556,28950.0
2021-02-12,2.24,2.24,166.32,29.991,-2.5257286443082556,28950.0
2021-02-05,2.28,2.28,171.21,29.88,-2.5257286443082556,28950.0
2021-01-29,2.26,2.26,168.15,29.979,-2.4079456086518722,28950.0
2021-01-22,2.26,2.26,172.68,30.0,-2.4079456086518722,28950.0
2021-01-15,2.28,2.28,175.28,29.944,-2.4079456086518722,28950.0
2021-01-08,2.29,2.29,173.28,29.99,-2.4079456086518722,28950.0
2021-01-01,2.39,2.39,179.48,29.92,-2.4079456086518722,28950.0
2020-12-25,2.42,2.42,178.36,29.919,-2.4079456086518722,30400.0
2020-12-18,2.34,2.34,176.35,30.19,-2.4079456086518722,30400.0
2020-12-11,2.33,2.33,176.74,29.965,-2.4079456086518722,30400.0
2020-12-04,2.33,2.33,172.17,30.039,-2.4079456086518722,30400.0
2020-11-27,2.33,2.33,172.81,30.193,-2.4079456086518722,30400.0
2020-11-20,2.28,2.28,169.51,30.29,-2.4079456086518722,30400.0
2020-11-13,2.34,2.34,175.16,30.33,-2.4079456086518722,30400.0
2020-11-06,2.39,2.39,175.96,30.251,-2.4079456086518722,30400.0
2020-10-30,2.49,2.49,182.93,31.0,-2.4079456086518722,30400.0
2020-10-23,2.47,2.47,175.4,31.25,-2.4079456086518722,30400.0
2020-10-16,2.51,2.51,178.83,31.19,-2.4079456086518722,30400.0
2020-10-09,2.49,2.49,178.92,31.21,-2.4079456086518722,30400.0
2020-10-02,2.5,2.5,177.85,31.193,-2.4079456086518722,30400.0
2020-09-25,2.52,2.52,178.7,31.61,-2.4079456086518722,30400.0
2020-09-18,2.46,2.46,175.44,31.559,-2.4079456086518722,30400.0
2020-09-11,2.55,2.55,182.96,31.1,-2.4079456086518722,30400.0
2020-09-04,2.55,2.55,182.46,31.26,-2.4079456086518722,30400.0
2020-08-28,2.56,2.56,181.14,31.33,-2.3025850929940455,30400.0
2020-08-21,2.56,2.56,181.24,31.234,-2.3025850929940455,30400.0
2020-08-14,2.56,2.56,183.5,31.3,-2.3025850929940455,30400.0
2020-08-07,2.56,2.56,183.33,31.07,-2.3025850929940455,30400.0
2020-07-31,2.67,2.67,193.89,31.024,-2.4079456086518722,30400.0
2020-07-24,2.56,2.56,183.76,31.422,-2.4079456086518722,30400.0
2020-07-17,2.48,2.48,177.18,31.621,-2.4079456086518722,30400.0
2020-07-10,2.35,2.35,168.73,31.53,-2.4079456086518722,30400.0
2020-07-03,2.34,2.34,169.63,31.17,-2.4079456086518722,30400.0
2020-06-26,2.3,2.3,166.98,31.022,-2.5257286443082556,30400.0
2020-06-19,2.28,2.28,165.8,30.862,-2.5257286443082556,30400.0
2020-06-12,2.26,2.26,162.24,31.11,-2.5257286443082556,30400.0
2020-06-05,2.26,2.26,162.39,31.108,-2.5257286443082556,30400.0
2020-05-29,2.25,2.25,161.28,31.56,-2.995732273553991,30400.0
2020-05-22,2.3,2.3,161.72,31.904,-2.995732273553991,30400.0
2020-05-15,2.32,2.32,162.25,31.82,-2.995732273553991,30400.0
2020-05-08,2.33,2.33,163.01,32.06,-2.995732273553991,30400.0
2020-05-01,2.33,2.33,161.39,32.433,-2.995732273553991,30400.0
2020-04-24,2.3,2.3,158.8,32.403,-2.995732273553991,30400.0
2020-04-17,2.33,2.33,163.34,32.362,-2.995732273553991,30400.0
2020-04-10,2.31,2.31,161.71,32.699,-2.995732273553991,30400.0
2020-04-03,2.27,2.27,158.69,32.737,-2.995732273553991,30400.0
2020-03-27,2.2,2.2,151.9,33.08,-0.4307829160924542,30400.0
2020-03-20,2.17,2.17,153.24,32.761,-0.4307829160924542,30400.0
2020-03-13,2.03,2.03,138.04,32.487,-0.4307829160924542,30400.0
2020-03-06,2.08,2.08,147.79,31.5,-0.4307829160924542,30400.0
2020-02-28,2.24,2.24,157.49,31.33,0.4574248470388755,30400.0
2020-02-21,2.22,2.22,154.0,31.84,0.4574248470388755,30400.0
2020-02-14,2.18,2.18,152.41,31.21,0.4574248470388755,30400.0
